Formal Name	District	Chamber	First Name	Surname	Party	DC Office	DC Voice	District Voice	Electronic Correspondence	Web
Jim Costa (D-16)	CA16	Representative	Jim	Costa	Democrat	1314 Longworth House Office Building	202-225-3341	559-495-1620	http://www.house.gov/formcosta/issue.htm	http://www.costa.house.gov/
Mike Honda (D-17)	CA17	Representative	Mike	Honda	Democrat	1713 Longworth House Office Building	202-225-2631	408-436-2720	http://honda.house.gov/contact/email-me	http://honda.house.gov/
Anna G. Eshoo (D-18)	CA18	Representative	Anna	Eshoo	Democrat	241 Cannon House Office Building	202-225-8104	650-323-2984	http://eshoo.house.gov/contact/	http://eshoo.house.gov/
Zoe Lofgren (D-19)	CA19	Representative	Zoe	Lofgren	Democrat	1401 Longworth House Office Building	202-225-3072	408-271-8700	http://lofgren.house.gov/contact/	http://lofgren.house.gov/
Sam Farr (D-20)	CA20	Representative	Sam	Farr	Democrat	1126 Longworth House Office Building	202-225-2861	831-429-1976	https://forms.house.gov/farr/webforms/issue_subscribe.html	http://www.farr.house.gov/
David Valadao (R-21)	CA21	Representative	David	Valadao	Republican	1004 Longworth House Office Building	202-225-4695	559-582-5526	https://valadao.house.gov/contact/email-me/	http://valadao.house.gov/
Devin Nunes (R-22)	CA22	Representative	Devin	Nunes	Republican	1013 Longworth House Office Building	202-225-2523	559-733-3861	https://nunes.house.gov/contactform/default.aspx	http://nunes.house.gov/
Kevin McCarthy (R-23)	CA23	Representative	Kevin	McCarthy	Republican	2421 Rayburn House Office Building	202-225-2915	661-327-3611	https://kevinmccarthy.house.gov/contact/email-me	http://kevinmccarthy.house.gov/
Lois Capps (D-24)	CA24	Representative	Lois	Capps	Democrat	2231 Rayburn House Office Building	202-225-3601	805-349-3832	https://capps.house.gov/contact-me/email-me	http://capps.house.gov/
Steve Knight (R-25)	CA25	Representative	Steve	Knight	Republican	2310 Rayburn House Office Building	202-225-1956	N/A	https://knight.house.gov/contact/email	https://knight.house.gov/
Julia Brownley (D-26)	CA26	Representative	Julia	Brownley	Democrat	1019 Longworth House Office Building	202-225-5811	805-379-1779	https://juliabrownley.house.gov/contact/email-me	http://juliabrownley.house.gov/
Judy Chu (D-27)	CA27	Representative	Judy	Chu	Democrat	2423 Rayburn House Office Building	202-225-5464	626-304-0110	http://chu.house.gov/connect-with-me/email-judy	http://chu.house.gov/
Adam Schiff (D-28)	CA28	Representative	Adam	Schiff	Democrat	2411 Rayburn House Office Building	202-225-4176	818-450-2900	https://schiff.house.gov/email-congressman-schiff1	http://schiff.house.gov/index.html
Tony Cardenas (D-29)	CA29	Representative	Tony	Cardenas	Democrat	1510 Longworth House Office Building	202-225-6131	818-504-0090	https://cardenas.house.gov/contact/email-me	http://cardenas.house.gov/
Brad Sherman (D-30)	CA30	Representative	Brad	Sherman	Democrat	2242 Rayburn House Office Building	202-225-5911	818-501-9200	http://sherman.house.gov/contact/contact-congressman-sherman-form	http://sherman.house.gov/
Pete Aguilar (D-31)	CA31	Representative	Pete	Aguilar	Democrat	1223 Longworth House Office Building	202-225-3201	909-980-1492	https://aguilar.house.gov/contact/email	https://aguilar.house.gov/
Grace Napolitano (D-32)	CA32	Representative	Grace	Napolitano	Democrat	1610 Longworth House Office Building	202-225-5256	626-350-0150	https://napolitano.house.gov/contact-me/email-me	http://napolitano.house.gov/
Ted Lieu (D-33)	CA33	Representative	Ted	Lieu	Democrat	2204 Rayburn House Office Building	202-225-3976	323-651-1040	https://lieu.house.gov/contact/email	https://lieu.house.gov/
Xavier Becerra (D-34)	CA34	Representative	Xavier	Becerra	Democrat	1226 Longworth House Office Building	202-225-6235	213-481-1425	http://becerraforms.house.gov/contact/	http://becerra.house.gov/
Norma Torres (D-35)	CA35	Representative	Norma	Torres	Democrat	516 Cannon House Office Building	202-225-6161	N/A	https://torres.house.gov/contact/email	https://torres.house.gov/
Raul Ruiz (D-36)	CA36	Representative	Raul	Ruiz	Democrat	1319 Longworth House Office Building	202-225-5330	760-424-8888	https://ruiz.house.gov/email-me	http://ruiz.house.gov/
Karen Bass (D-37)	CA37	Representative	Karen	Bass	Democrat	408 Cannon House Office Building	202-225-7084	323-965-1422	https://bass.house.gov/contact-me/email-me	http://bass.house.gov/
Linda Sanchez (D-38)	CA38	Representative	Linda	Sanchez	Democrat	2423 Rayburn House Office Building	202-225-6676	562-860-5050	https://forms.house.gov/lindasanchez/webforms/issue_subscribe.htm	http://lindasanchez.house.gov/
Ed Royce (R-39)	CA39	Representative	Ed	Royce	Republican	2310 Rayburn House Office Building	202-225-4111	909-420-0010	http://royce.house.gov/contact/zipcheck.htm	http://royce.house.gov/
Lucille Roybal-Allard (D-40)	CA40	Representative	Lucille	Roybal-Allard	Democrat	2330 Rayburn House Office Building	202-225-1766	323-721-8790	http://roybal-allard.house.gov/contact/	http://roybal-allard.house.gov/
Mark Allan Takano (D-41)	CA41	Representative	Mark	Takano	Democrat	1507 Longworth House Office Building	202-225-2305	951-222-0203	https://takano.house.gov/contact/email-me	http://takano.house.gov/
Ken Calvert (R-42)	CA42	Representative	Ken	Calvert	Republican	2205 Rayburn House Office Building	202-225-1986	951-277-0042	http://calvert.house.gov/contact/	http://calvert.house.gov/
Maxine Waters (D-43)	CA43	Representative	Maxine	Waters	Democrat	2221 Rayburn House Office Building	202-225-2201	323-757-8900	https://waters.house.gov/contact/contactform.htm	http://waters.house.gov/
Janice Hahn (D-44)	CA44	Representative	Janice	Hahn	Democrat	404 Cannon House Office Building	202-225-8220	310-831-1799	https://hahn.house.gov/contact-me/email-me	http://hahn.house.gov/
Mimi Walters (R-45)	CA45	Representative	Mimi	Walters	Republican	236 Cannon House Office Building	202-225-5611	N/A	https://walters.house.gov/contact/email	https://walters.house.gov/
Loretta Sanchez (D-46)	CA46	Representative	Loretta	Sanchez	Democrat	1114 Longworth House Office Building	202-225-2965	714-621-0102	http://lorettasanchez.house.gov/contact	http://www.lorettasanchez.house.gov/
Alan Lowenthal (D-47)	CA47	Representative	Alan	Lowenthal	Democrat	515 Cannon House Office Building	202-225-7924	562-436-3828	https://lowenthal.house.gov/contact/email-me/#.UfEWvKyYsuQ	http://lowenthal.house.gov/
Dana Rohrabacher (R-48)	CA48	Representative	Dana	Rohrabacher	Republican	2300 Rayburn House Office Building	202-225-2415	714-960-6483	https://rohrabacher.house.gov/contact/email-me	http://rohrabacher.house.gov/
Darrell Issa (R-49)	CA49	Representative	Darrell	Issa	Republican	2347 Rayburn House Office Building	202-225-3906	760-599-5000	http://issa.house.gov/contact/contact-me	http://issa.house.gov/
Duncan D. Hunter (R-50)	CA50	Representative	Duncan	Hunter	Republican	223 Cannon House Office Building	202-225-5672	619-448-5201	https://hunter.house.gov/contact-me/email-me	http://hunter.house.gov/
Juan Vargas (D-51)	CA51	Representative	Juan	Vargas	Democrat	1605 Longworth House Office Building	202-225-8045	619-422-5963	https://vargas.house.gov/contact/email-me	http://vargas.house.gov/
Scott Peters (D-52)	CA52	Representative	Scott	Peters	Democrat	1122 Longworth House Office Building	202-225-0508	858-455-5550	https://scottpeters.house.gov/contact/email-me	http://scottpeters.house.gov/
Susan A. Davis (D-53)	CA53	Representative	Susan	Davis	Democrat	1214 Longworth House Office Building	202-225-2040	619-280-5353	https://susandavisforms.house.gov/forms/writeyourrep/	http://www.house.gov/susandavis/
Sen. Michael Bennet (D)	COSR	Senator	Michael	Bennet	Democrat	458 Russell Senate Office Building	202-224-5852	719-542-1701	http://www.bennet.senate.gov/contact/	http://www.bennet.senate.gov/
Sen. Cory Gardner (R)	COJR	Senator	Cory	Gardner	Republican	B40B Dirksen Senate Office Building	202-224-5941	N/A	http://www.gardner.senate.gov/content/contact-cory	http://www.gardner.senate.gov/HomePage
Diana DeGette (D-01)	CO01	Representative	Diana	DeGette	Democrat	2368 Rayburn House Office Building	202-225-4431	303-844-4988	https://degette.house.gov/contact/send-me-an-email/email-me	http://degette.house.gov/
Jared Polis (D-02)	CO02	Representative	Jared	Polis	Democrat	1433 Longworth House Office Building	202-225-2161	970-668-3240	https://polis.house.gov/forms/writeyourrep/default.aspx	http://polis.house.gov/
Scott R. Tipton (R-03)	CO03	Representative	Scott	Tipton	Republican	218 Cannon House Office Building	202-225-4761	970-241-2499	https://tipton.house.gov/contact-me/email-me	http://tipton.house.gov/
Ken Buck (R-04)	CO04	Representative	Ken	Buck	Republican	416 Cannon House Office Building	202-225-4676	720-639-9165	https://buck.house.gov/contact/email	https://buck.house.gov/
Doug Lamborn (R-05)	CO05	Representative	Doug	Lamborn	Republican	2402 Rayburn House Office Building	202-225-4422	719-520-0055	https://lambornforms.house.gov/index.cfm?sectionid=138	http://lamborn.house.gov/index.html
Mike Coffman (R-06)	CO06	Representative	Mike	Coffman	Republican	2443 Rayburn House Office Building	202-225-7882	720-748-7514	https://coffman.house.gov/contact/email-me	http://coffman.house.gov/
Ed Perlmutter (D-07)	CO07	Representative	Ed	Perlmutter	Democrat	1410 Longworth House Office Building	202-225-2645	303-274-7944	https://forms.house.gov/perlmutter/webforms/contact.shtml	http://perlmutter.house.gov/
Sen. Richard Blumenthal (D)	CTSR	Senator	Richard	Blumenthal	Democrat	724 Hart Senate Office Building	202-224-2823	860-258-6940	https://www.blumenthal.senate.gov/contact/	http://www.blumenthal.senate.gov/
Sen. Chris Murphy (D)	CTJR	Senator	Chris	Murphy	Democrat	303 Hart Senate Office Building	202-224-4041	860-549-8463	http://www.murphy.senate.gov/contact	http://www.murphy.senate.gov
John Larson (D-01)	CT01	Representative	John	Larson	Democrat	1501 Longworth House Office Building	202-225-2265	860-278-8888	https://forms.house.gov/larson/contact_new.html	http://www.larson.house.gov/
Joe Courtney (D-02)	CT02	Representative	Joe	Courtney	Democrat	2348 Rayburn House Office Building	202-225-2076	860-741-6011	https://courtney.house.gov/email-joe1	http://courtney.house.gov/
Rosa L. DeLauro (D-03)	CT03	Representative	Rosa	DeLauro	Democrat	2413 Rayburn House Office Building	202-225-3661	203-562-3718	https://forms.house.gov/delauro/webforms/contact_form_email.shtml	http://delauro.house.gov/
Jim Himes (D-04)	CT04	Representative	Jim	Himes	Democrat	119 Cannon House Office Building	202-225-5541	866-453-0028	https://himes.house.gov/contact-me/email-me	http://himes.house.gov/
Elizabeth Esty (D-05)	CT05	Representative	Elizabeth	Esty	Democrat	405 Cannon House Office Building	202-225-4476	860-223-8412	https://esty.house.gov/contact/email-me	http://esty.house.gov/
Del. Eleanor Holmes Norton (D)	DC00	Delegate	Eleanor	Norton	Democrat	2136 Rayburn House Office Building	202-225-8050	202-408-9041	http://norton.house.gov/contact/comment-on-legislation	http://norton.house.gov/
Sen. Tom Carper (D)	DESR	Senator	Tom	Carper	Democrat	513 Hart Senate Office Building	202-224-2441	302-674-3308	http://www.carper.senate.gov/public/index.cfm/email-senator-carper	http://www.carper.senate.gov/public/
Sen. Christopher Coons (D)	DEJR	Senator	Christopher	Coons	Democrat	127A Russell Senate Office Building	202-224-5042	302-573-6345	http://www.coons.senate.gov/contact/	http://www.coons.senate.gov/
John Carney (D-ALL)	DE00	Representative	John	Carney	Democrat	1406 Longworth House Office Building	202-225-4165	302-691-7333	https://forms.house.gov/carney/webforms/email-me.shtml	http://johncarney.house.gov/
Sen. Bill Nelson (D)	FLSR	Senator	Bill	Nelson	Democrat	716 Hart Senate Office Building	202-224-5274	239-334-7760	http://www.billnelson.senate.gov/contact-bill	http://www.billnelson.senate.gov/
Sen. Marco Rubio (R)	FLJR	Senator	Marco	Rubio	Republican	284 Russell Senate Office Building	202-224-3041	407-254-2573	http://www.rubio.senate.gov/public/index.cfm/email-senator-rubio?p=Contact	http://www.rubio.senate.gov/public/
Jeff Miller (R-01)	FL01	Representative	Jeff	Miller	Republican	336 Cannon House Office Building	202-225-4136	850-664-1266	http://jeffmiller.house.gov/contact/	http://jeffmiller.house.gov/
Gwen Graham (D-02)	FL02	Representative	Gwen	Graham	Democrat	1229 Longworth House Office Building	202-225-5235	850-785-0812	https://graham.house.gov/contact/email	https://graham.house.gov/
Ted Yoho (R-03)	FL03	Representative	Ted	Yoho	Republican	511 Cannon House Office Building	202-225-5744	352-505-0838	https://yoho.house.gov/contact/email-me/email-me-zip-authenticated	http://yoho.house.gov/
Ander Crenshaw (R-04)	FL04	Representative	Ander	Crenshaw	Republican	2161 Rayburn House Office Building	202-225-2501	904-598-0481	https://forms.house.gov/write/crenshaw/email-me.shtml	http://crenshaw.house.gov/
Corrine Brown (D-05)	FL05	Representative	Corrine	Brown	Democrat	2111 Rayburn House Office Building	202-225-0123	904-354-1652	https://forms.house.gov/corrinebrown/webforms/contact-me.shtml	http://corrinebrown.house.gov/
Ron DeSantis (R-06)	FL06	Representative	Ron	DeSantis	Republican	308 Cannon House Office Building	202-225-2706	386-756-9798	https://desantis.house.gov/contact/email-me	http://desantis.house.gov/
John L. Mica (R-07)	FL07	Representative	John	Mica	Republican	2187 Rayburn House Office Building	202-225-4035	407-657-8080	https://mica.house.gov/contact-form	http://mica.house.gov/
Bill Posey (R-08)	FL08	Representative	Bill	Posey	Republican	120 Cannon House Office Building	202-225-3671	321-632-1776	https://posey.house.gov/forms/writeyourrep/default.aspx	http://posey.house.gov/
Alan Grayson (D-09)	FL09	Representative	Alan	Grayson	Democrat	430 Cannon House Office Building	202-225-9889	407-615-8889	https://forms.house.gov/grayson/webforms/email-me.shtml	http://grayson.house.gov/
Daniel Webster (R-10)	FL10	Representative	Daniel	Webster	Republican	1039 Longworth House Office Building	202-225-2176	407-654-5705	http://webster.house.gov/contact/	http://webster.house.gov/
Richard Nugent (R-11)	FL11	Representative	Richard	Nugent	Republican	1727 Longworth House Office Building	202-225-1002	352-684-4446	https://nugent.house.gov/contact/email-me	http://nugent.house.gov/
Gus M. Bilirakis (R-12)	FL12	Representative	Gus	Bilirakis	Republican	2112 Rayburn House Office Building	202-225-5755	727-940-5860	https://bilirakis.house.gov/email-congressman-bilirakis	http://bilirakis.house.gov/
David Jolly (R-13)	FL13	Representative	David	Jolly	Republican	2407 Rayburn House Office Building	202-225-5961	727-392-4100	https://jolly.house.gov/contact/email-me	http://jolly.house.gov/
Kathy Castor (D-14)	FL14	Representative	Kathy	Castor	Democrat	205 Cannon House Office Building	202-225-3376	813-871-2817	https://castor.house.gov/contact/contactform.htm	http://castor.house.gov/
Dennis Ross (R-15)	FL15	Representative	Dennis	Ross	Republican	229 Cannon House Office Building	202-225-1252	863-644-8215	http://dennisross.house.gov/contact/	http://dennisross.house.gov/
Vern Buchanan (R-16)	FL16	Representative	Vern	Buchanan	Republican	2104 Rayburn House Office Building	202-225-5015	941-747-9081	https://buchanan.house.gov/email-me	http://buchanan.house.gov/
Thomas J. Rooney (R-17)	FL17	Representative	Thomas	Rooney	Republican	2160 Rayburn House Office Building	202-225-5792	813-677-8646	https://rooney.house.gov/contact/email-me	http://rooney.house.gov/
Patrick Murphy (D-18)	FL18	Representative	Patrick	Murphy	Democrat	211 Cannon House Office Building	202-225-3026	561-253-8433	http://patrickmurphy.house.gov/contact/email-me/	http://patrickmurphy.house.gov/
Curt Clawson (R-19)	FL19	Representative	Curt	Clawson	Republican	228 Cannon House Office Building	202-225-2536	239-252-6225	http://clawson.house.gov/contact/	http://clawson.house.gov/
Alcee L. Hastings (D-20)	FL20	Representative	Alcee	Hastings	Democrat	2353 Rayburn House Office Building	202-225-1313	954-733-2800	http://alceehastings.house.gov/contact/	http://alceehastings.house.gov/
Ted Deutch (D-21)	FL21	Representative	Ted	Deutch	Democrat	2447 Rayburn House Office Building	202-225-3001	561-470-5440	https://teddeutch.house.gov/forms/writeyourrep/default.aspx	http://teddeutch.house.gov/
Lois Frankel (D-22)	FL22	Representative	Lois	Frankel	Democrat	1037 Longworth House Office Building	202-225-9890	561-998-9045	https://frankel.house.gov/contact/email-me	http://frankel.house.gov/
Debbie Wasserman Schultz (D-23)	FL23	Representative	Debbie	Wasserman Schultz	Democrat	1114 Longworth House Office Building	202-225-7931	305-936-5724	https://wassermanschultz.house.gov/email-me	http://wassermanschultz.house.gov/
Frederica Wilson (D-24)	FL24	Representative	Frederica	Wilson	Democrat	208 Cannon House Office Building	202-225-4506	305-690-5905	http://wilson.house.gov/contact	http://wilson.house.gov/
Mario Diaz-Balart (R-25)	FL25	Representative	Mario	Diaz-Balart	Republican	440 Cannon House Office Building	202-225-4211	239-348-1620	https://writerep.house.gov/writerep/welcome.shtml	http://mariodiazbalart.house.gov/
Carlos Curbelo (R-26)	FL26	Representative	Carlos	Curbelo	Republican	1429 Cannon House Office Building	202-225-2778	N/A	https://curbelo.house.gov/contact/email	https://curbelo.house.gov/
Ileana Ros-Lehtinen (R-27)	FL27	Representative	Ileana	Ros-Lehtinen	Republican	2206 Rayburn House Office Building	202-225-3931	305-668-2285	https://ros-lehtinen.house.gov/contact-me/email-me	http://ros-lehtinen.house.gov/
Sen. Johnny Isakson (R)	GASR	Senator	Johnny	Isakson	Republican	131 Russell Senate Office Building	202-224-3643	770-763-9090	http://www.isakson.senate.gov/public/index.cfm/email-me	http://www.isakson.senate.gov/public/
Sen. David Perdue (R)	GAJR	Senator	David	Perdue	Republican	B40D Dirksen Senate Office Building	202-224-3521	770-661-0999	http://www.perdue.senate.gov/content/contact-david	http://www.perdue.senate.gov/HomePage
Buddy Carter (R-01)	GA01	Representative	Buddy	Carter	Republican	432 Cannon House Office Building	202-225-5831	912-265-9010	https://buddycarter.house.gov/contact/email	https://buddycarter.house.gov/
Sanford D. Bishop, Jr. (D-02)	GA02	Representative	Sanford	Bishop	Democrat	2407 Rayburn House Office Building	202-225-3631	706-320-9477	https://bishop.house.gov/contact/email-me	http://bishop.house.gov/
Lynn Westmoreland (R-03)	GA03	Representative	Lynn	Westmoreland	Republican	2202 Rayburn House Office Building	202-225-5901	770-683-2033	https://westmoreland.house.gov/email-me	http://westmoreland.house.gov/
Hank Johnson (D-04)	GA04	Representative	Hank	Johnson	Democrat	2240 Rayburn House Office Building	202-225-1605	770-987-2291	https://hankjohnson.house.gov/contact-me/email-me	http://hankjohnson.house.gov/
John Lewis (D-05)	GA05	Representative	John	Lewis	Democrat	343 Cannon House Office Building	202-225-3801	404-659-0116	https://johnlewis.house.gov/contact-me/email-me	http://johnlewis.house.gov/
Tom Price (R-06)	GA06	Representative	Tom	Price	Republican	100 Cannon House Office Building	202-225-4501	770-998-0049	https://tomprice.house.gov/contact-me	http://tomprice.house.gov/
Rob Woodall (R-07)	GA07	Representative	Rob	Woodall	Republican	1724 Longworth House Office Building	202-225-4272	770-232-3005	https://woodall.house.gov/contact-me/email-me	http://woodall.house.gov/
